address,type,datetime,latitude,longitude,report_location,incident_number
140 4th Ave N,EVENT - Special Event,2026-02-11T13:03:00.000,47.619041,-122.348899,"{'type': 'Point', 'coordinates': [-122.348899, 47.619041]}",F260019911
NB I5 AT ALBRO,Aid Response Freeway,2026-02-11T12:53:00.000,47.542027,-122.303649,"{'type': 'Point', 'coordinates': [-122.303649, 47.542027]}",F260019908
3440 East Marginal Way S,Aid Response,2026-02-11T12:49:00.000,47.573305,-122.339696,"{'type': 'Point', 'coordinates': [-122.339696, 47.573305]}",F260019906
4th Ave / Pine St,EVENT - Special Event,2026-02-11T12:47:00.000,47.611207,-122.337592,"{'type': 'Point', 'coordinates': [-122.337592, 47.611207]}",F260019905
13000 Linden Ave N,Low Acuity Response,2026-02-11T12:42:00.000,47.723218,-122.348195,"{'type': 'Point', 'coordinates': [-122.348195, 47.723218]}",F260019902
1765 6th Ave S,Aid Response,2026-02-11T12:40:00.000,47.587559,-122.325971,"{'type': 'Point', 'coordinates': [-122.325971, 47.587559]}",F260019900
9th Ave / Alder St,Illegal Burn,2026-02-11T12:39:00.000,47.603415,-122.322791,"{'type': 'Point', 'coordinates': [-122.322791, 47.603415]}",F260019899
4th Ave / Pine St,EVENT - Special Event,2026-02-11T12:37:00.000,47.611207,-122.337592,"{'type': 'Point', 'coordinates': [-122.337592, 47.611207]}",F260019898
15th Ave Ne / Ne 89th St,MVI - Motor Vehicle Incident,2026-02-11T12:37:00.000,47.693069,-122.312174,"{'type': 'Point', 'coordinates': [-122.312174, 47.693069]}",F260019897
6727 RAINIER AVE S,Medic Response,2026-02-11T12:34:00.000,47.542238,-122.272642,"{'type': 'Point', 'coordinates': [-122.272642, 47.542238]}",F260019893
111 NE 80TH ST,Aid Response,2026-02-11T12:33:00.000,47.686844,-122.327785,"{'type': 'Point', 'coordinates': [-122.327785, 47.686844]}",F260019892
1226 Taylor Ave N,Aid Response Yellow,2026-02-11T12:30:00.000,47.629946,-122.346229,"{'type': 'Point', 'coordinates': [-122.346229, 47.629946]}",F260019890
199 27th Ave,Medic Response,2026-02-11T12:23:00.000,47.603181,-122.297855,"{'type': 'Point', 'coordinates': [-122.297855, 47.603181]}",F260019887
4th Ave / Denny Way,EVENT - Special Event,2026-02-11T12:17:00.000,47.618576,-122.348925,"{'type': 'Point', 'coordinates': [-122.348925, 47.618576]}",F260019885
5TH AVE / PINE ST,Aid Response,2026-02-11T12:15:00.000,47.611672,-122.336484,"{'type': 'Point', 'coordinates': [-122.336484, 47.611672]}",F260019884
3rd Ave / Cherry St,EVENT - Special Event,2026-02-11T12:14:00.000,47.603484,-122.332062,"{'type': 'Point', 'coordinates': [-122.332062, 47.603484]}",F260019882
3025 Ne 130th St,Aid Response,2026-02-11T12:14:00.000,47.7229,-122.29591,"{'type': 'Point', 'coordinates': [-122.29591, 47.7229]}",F260019883
3708 E Olive St,Aid Response,2026-02-11T12:12:00.000,47.616463,-122.285865,"{'type': 'Point', 'coordinates': [-122.285865, 47.616463]}",F260019881
5th Ave / Marion St,Aid Response,2026-02-11T12:10:00.000,47.605839,-122.331146,"{'type': 'Point', 'coordinates': [-122.331146, 47.605839]}",F260019880
4TH AVE S / S JACKSON ST,EVENT - Special Event,2026-02-11T12:08:00.000,47.599197,-122.328968,"{'type': 'Point', 'coordinates': [-122.328968, 47.599197]}",F260019879
303 S Jackson St,EVENT - Special Event,2026-02-11T12:03:00.000,47.599199,-122.330251,"{'type': 'Point', 'coordinates': [-122.330251, 47.599199]}",F260019876
3620 Phinney Ave N,Auto Fire Alarm,2026-02-11T12:03:00.000,47.652368,-122.354474,"{'type': 'Point', 'coordinates': [-122.354474, 47.652368]}",F260019877
3333 Wallingford Ave N,Aid Response,2026-02-11T12:02:00.000,47.647817,-122.336354,"{'type': 'Point', 'coordinates': [-122.336354, 47.647817]}",F260019874
4544 7th Ave Ne,Medic Response,2026-02-11T12:01:00.000,47.662004,-122.320724,"{'type': 'Point', 'coordinates': [-122.320724, 47.662004]}",F260019869
4TH AVE S / S MAIN ST,EVENT - Special Event,2026-02-11T12:01:00.000,47.600036,-122.328965,"{'type': 'Point', 'coordinates': [-122.328965, 47.600036]}",F260019872
310 4TH AVE S,EVENT - Special Event,2026-02-11T12:01:00.000,47.59995,-122.328965,"{'type': 'Point', 'coordinates': [-122.328965, 47.59995]}",F260019871
3643 35th Ave W,Aid Response,2026-02-11T11:59:00.000,47.652628,-122.40228,"{'type': 'Point', 'coordinates': [-122.40228, 47.652628]}",F260019868
1632 S Weller St,Aid Response,2026-02-11T11:57:00.000,47.597488,-122.311161,"{'type': 'Point', 'coordinates': [-122.311161, 47.597488]}",F260019866
555 16th Ave,Aid Response,2026-02-11T11:54:00.000,47.606687,-122.31155,"{'type': 'Point', 'coordinates': [-122.31155, 47.606687]}",F260019864
4th Ave / Wall St,EVENT - Special Event,2026-02-11T11:49:00.000,47.616691,-122.346171,"{'type': 'Point', 'coordinates': [-122.346171, 47.616691]}",F260019861
206 3rd Ave S,Medic Response,2026-02-11T11:45:00.000,47.600825,-122.330272,"{'type': 'Point', 'coordinates': [-122.330272, 47.600825]}",F260019859
400 S Jackson St,EVENT - Special Event,2026-02-11T11:44:00.000,47.599197,-122.328968,"{'type': 'Point', 'coordinates': [-122.328968, 47.599197]}",F260019860
201 S Jackson St,Auto Fire Alarm,2026-02-11T11:38:00.000,47.599201,-122.331566,"{'type': 'Point', 'coordinates': [-122.331566, 47.599201]}",F260019856
4th Ave / Columbia St,EVENT - Special Event,2026-02-11T11:36:00.000,47.604662,-122.331604,"{'type': 'Point', 'coordinates': [-122.331604, 47.604662]}",F260019855
6014 S Hazel St,Aid Response,2026-02-11T11:33:00.000,47.504365,-122.25815,"{'type': 'Point', 'coordinates': [-122.25815, 47.504365]}",F260019853
1st Ave S / S Jackson St,Low Acuity Response,2026-02-11T11:31:00.000,47.599205,-122.334188,"{'type': 'Point', 'coordinates': [-122.334188, 47.599205]}",F260019849
5th Ave S / S Jackson St,EVENT - Special Event,2026-02-11T11:31:00.000,47.599195,-122.327667,"{'type': 'Point', 'coordinates': [-122.327667, 47.599195]}",F260019852
1431 Minor Ave,Aid Response,2026-02-11T11:25:00.000,47.613247,-122.327187,"{'type': 'Point', 'coordinates': [-122.327187, 47.613247]}",F260019846
925 Alaskan Way,Low Acuity Response,2026-02-11T11:23:00.000,47.603237,-122.337944,"{'type': 'Point', 'coordinates': [-122.337944, 47.603237]}",F260019845
1226 Taylor Ave N,Aid Response Yellow,2026-02-11T11:14:00.000,47.629946,-122.346229,"{'type': 'Point', 'coordinates': [-122.346229, 47.629946]}",F260019843
7930 Rainier Ave S,Ladder Code Red,2026-02-11T11:13:00.000,47.530717,-122.269989,"{'type': 'Point', 'coordinates': [-122.269989, 47.530717]}",F260019842
4416 Evanston Ave N,Aid Response,2026-02-11T11:12:00.000,47.660397,-122.351008,"{'type': 'Point', 'coordinates': [-122.351008, 47.660397]}",F260019841
1915 1st Ave,Aid Response,2026-02-11T11:09:00.000,47.610401,-122.341483,"{'type': 'Point', 'coordinates': [-122.341483, 47.610401]}",F260019839
1801 S Jackson St,Aid Response,2026-02-11T11:06:00.000,47.599239,-122.308955,"{'type': 'Point', 'coordinates': [-122.308955, 47.599239]}",F260019838
5th Ave N / Mercer St,Aid Response,2026-02-11T11:02:00.000,47.624495,-122.347568,"{'type': 'Point', 'coordinates': [-122.347568, 47.624495]}",F260019837
3927 Aurora Ave N,2RED - 1 + 1,2026-02-11T10:59:00.000,47.655051,-122.347373,"{'type': 'Point', 'coordinates': [-122.347373, 47.655051]}",F260019835
120 6th Ave S,Medic Response,2026-02-11T10:57:00.000,47.601539,-122.326352,"{'type': 'Point', 'coordinates': [-122.326352, 47.601539]}",F260019834
3rd Ave / Cherry St,EVENT - Special Event,2026-02-11T10:56:00.000,47.603484,-122.332062,"{'type': 'Point', 'coordinates': [-122.332062, 47.603484]}",F260019833
210 8th Ave N,Automatic Fire Alarm False,2026-02-11T10:50:00.000,47.619822,-122.341086,"{'type': 'Point', 'coordinates': [-122.341086, 47.619822]}",F260019832
4735 51st Pl Sw,Aid Response,2026-02-11T10:49:00.000,47.560564,-122.398274,"{'type': 'Point', 'coordinates': [-122.398274, 47.560564]}",F260019831
400 S Jackson St,EVENT - Special Event,2026-02-11T10:47:00.000,47.599197,-122.328968,"{'type': 'Point', 'coordinates': [-122.328968, 47.599197]}",F260019830
619 3rd Ave,Medic Response,2026-02-11T10:46:00.000,47.6029,-122.331529,"{'type': 'Point', 'coordinates': [-122.331529, 47.6029]}",F260019829
4295 Little Canoe Channel Ne,Aid Response,2026-02-11T10:40:00.000,47.659361,-122.30444,"{'type': 'Point', 'coordinates': [-122.30444, 47.659361]}",F260019827
600 5th Ave S,Aid Response,2026-02-11T10:39:00.000,47.597517,-122.327675,"{'type': 'Point', 'coordinates': [-122.327675, 47.597517]}",F260019826
1819 N 135th St,Aid Response,2026-02-11T10:37:00.000,47.726854,-122.336644,"{'type': 'Point', 'coordinates': [-122.336644, 47.726854]}",F260019824
11720 Greenwood Ave N,Medic Response,2026-02-11T10:35:00.000,47.714275,-122.355516,"{'type': 'Point', 'coordinates': [-122.355516, 47.714275]}",F260019823
4219 Wallingford Ave N,Engine Code Red,2026-02-11T10:34:00.000,47.658199,-122.336222,"{'type': 'Point', 'coordinates': [-122.336222, 47.658199]}",F260019822
6222 Ne 74th St,Medic Response,2026-02-11T10:34:00.000,47.682107,-122.26209,"{'type': 'Point', 'coordinates': [-122.26209, 47.682107]}",F260019821
1902 2nd Ave,Auto Fire Alarm,2026-02-11T10:32:00.000,47.610972,-122.340465,"{'type': 'Point', 'coordinates': [-122.340465, 47.610972]}",F260019820
500 S Lander St,Medic Response,2026-02-11T10:27:00.000,47.579809,-122.327192,"{'type': 'Point', 'coordinates': [-122.327192, 47.579809]}",F260019819
725 9th Ave,Medic Response,2026-02-11T10:19:00.000,47.606444,-122.325563,"{'type': 'Point', 'coordinates': [-122.325563, 47.606444]}",F260019815
223 Yesler Way,Aid Response,2026-02-11T10:19:00.000,47.601718,-122.331581,"{'type': 'Point', 'coordinates': [-122.331581, 47.601718]}",F260019816
1600 S Lane St,Medic Response,2026-02-11T10:17:00.000,47.59665,-122.311586,"{'type': 'Point', 'coordinates': [-122.311586, 47.59665]}",F260019814
108 2nd Ave S,Auto Fire Alarm,2026-02-11T10:16:00.000,47.601681,-122.331562,"{'type': 'Point', 'coordinates': [-122.331562, 47.601681]}",F260019813
110 Roy St,Aid Response,2026-02-11T10:16:00.000,47.625451,-122.355125,"{'type': 'Point', 'coordinates': [-122.355125, 47.625451]}",F260019812
3842 32nd Ave W,Aid Response,2026-02-11T10:16:00.000,47.654436,-122.398234,"{'type': 'Point', 'coordinates': [-122.398234, 47.654436]}",F260019811
8202 41st Ave Ne,Aid Response Yellow,2026-02-11T10:13:00.000,47.688428,-122.2843,"{'type': 'Point', 'coordinates': [-122.2843, 47.688428]}",F260019809
939 Golf Dr S,Medic Response,2026-02-11T10:12:00.000,47.594053,-122.316198,"{'type': 'Point', 'coordinates': [-122.316198, 47.594053]}",F260019808
7138 34th Ave Sw,Medic Response,2026-02-11T10:08:00.000,47.538864,-122.375239,"{'type': 'Point', 'coordinates': [-122.375239, 47.538864]}",F260019807
403 S Trenton St,Aid Response,2026-02-11T10:04:00.000,47.52459,-122.329667,"{'type': 'Point', 'coordinates': [-122.329667, 47.52459]}",F260019804
7th Ave S / S King St,Aid Response,2026-02-11T10:03:00.000,47.59835,-122.323754,"{'type': 'Point', 'coordinates': [-122.323754, 47.59835]}",F260019805
300 E PIKE ST,Aid Response,2026-02-11T09:58:00.000,47.61393,-122.327805,"{'type': 'Point', 'coordinates': [-122.327805, 47.61393]}",F260019802
1911 22nd Ave S,Medic Response- Overdose,2026-02-11T09:56:00.000,47.586234,-122.304237,"{'type': 'Point', 'coordinates': [-122.304237, 47.586234]}",F260019800
4800 Sand Point Way Ne,Auto Fire Alarm,2026-02-11T09:54:00.000,47.664275,-122.283475,"{'type': 'Point', 'coordinates': [-122.283475, 47.664275]}",F260019799
2709 3rd Ave,Aid Response,2026-02-11T09:51:00.000,47.617176,-122.348974,"{'type': 'Point', 'coordinates': [-122.348974, 47.617176]}",F260019798
NW 85TH ST / 21ST AVE NW,Medic Response,2026-02-11T09:47:00.000,47.690589,-122.383272,"{'type': 'Point', 'coordinates': [-122.383272, 47.690589]}",F260019796
6760 34th Ave Sw,Auto Fire Alarm,2026-02-11T09:46:00.000,47.542303,-122.375157,"{'type': 'Point', 'coordinates': [-122.375157, 47.542303]}",F260019795
1851 Ne Grant Ln,Aid Response,2026-02-11T09:45:00.000,47.65511,-122.308586,"{'type': 'Point', 'coordinates': [-122.308586, 47.65511]}",F260019794
2nd Ave / Blanchard St,EVENT - Special Event,2026-02-11T09:44:00.000,47.613271,-122.344353,"{'type': 'Point', 'coordinates': [-122.344353, 47.613271]}",F260019793
140 23rd Ave S,Medic Response- 7 per Rule,2026-02-11T09:39:00.000,47.601407,-122.302235,"{'type': 'Point', 'coordinates': [-122.302235, 47.601407]}",F260019791
1105 E Fir St,Aid Response,2026-02-11T09:36:00.000,47.602688,-122.318034,"{'type': 'Point', 'coordinates': [-122.318034, 47.602688]}",F260019789
3rd Ave S / S Washington St,EVENT - Special Event,2026-02-11T09:31:00.000,47.600877,-122.330268,"{'type': 'Point', 'coordinates': [-122.330268, 47.600877]}",F260019787
589 Occidental Ave S,Aid Response,2026-02-11T09:20:00.000,47.597449,-122.333265,"{'type': 'Point', 'coordinates': [-122.333265, 47.597449]}",F260019786
5th Ave S / S Weller St,EVENT - Special Event,2026-02-11T09:19:00.000,47.597517,-122.327675,"{'type': 'Point', 'coordinates': [-122.327675, 47.597517]}",F260019785
3028 1st Ave,Aid Response,2026-02-11T09:16:00.000,47.618021,-122.354377,"{'type': 'Point', 'coordinates': [-122.354377, 47.618021]}",F260019784
8045 31st Ave Nw,Medic Response,2026-02-11T09:15:00.000,47.687065,-122.397019,"{'type': 'Point', 'coordinates': [-122.397019, 47.687065]}",F260019783
E Pine St / Summit Ave,Aid Response,2026-02-11T09:14:00.000,47.615219,-122.325529,"{'type': 'Point', 'coordinates': [-122.325529, 47.615219]}",F260019781
4th Ave S / S Washington St,EVENT - Special Event,2026-02-11T09:14:00.000,47.600875,-122.328963,"{'type': 'Point', 'coordinates': [-122.328963, 47.600875]}",F260019782
